0,0,1,-1,0,1,0,0,1,1,-1,1,1,0,1,0,1,-1,0,0,0,1,-1,0,-1,0,-1,1,0,-1,0,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,0156
0,0,0,1,-1,1,0,-1,0,1,0,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,0,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2
1,0,0,0,1,1,1,0,-1,0,1,0,0,-1,0,-1,1,-1,0,1,-1,1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,4
0,0,1,1,1,0,1,0,-1,1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,24
1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,-1,1,1,0,1,-1,0,-1,0,-1,-1,0,-1,0,023
1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,-1,0,1,1,1,0,-1,-1,1,1,0,0,1,-1,-1,0,-1,0,1,1,-1,-1,-1,-1,-1,0,14
0,0,1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
0,1,0,1,1,0,1,-1,0,1,0,-1,-1,1,-1,0,1,1,-1,-1,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,124
-1,0,-1,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45
-1,0,0,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
0,1,0,1,0,0,1,1,1,1,0,1,0,1,-1,0,1,1,1,0,1,-1,1,0,0,0,1,0,-1,0,0,1,-1,0,0,-1,1,1,-1,-1,0,0,3
-1,1,0,1,1,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01245
